city,recording,present,file,rows,columns,column_names,missing_cells,unnamed_columns,unnamed_all_empty,duplicate_raw_frame_ids,nonpositive_timestamp_steps,timestamp_column
Chongqing,6_22_NR_1,True,TrafficLight_06_22_NR1_add_plight.csv,120.0,10.0,RawFrameID | timestamp(ms) | Vehicle Traffic light 1 | Vehicle Traffic light 2 | Vehicle Traffic light 3 | Vehicle Traffic light 4 | Pedestrian Traffic light 1 | Pedestrian Traffic light 2 | Pedestrian Traffic light 3 | Pedestrian Traffic light 4,0.0,,True,0.0,0.0,timestamp(ms)
Chongqing,6_22_NR_2,True,TrafficLight_06_22_NR2_add_plight.csv,112.0,10.0,RawFrameID | timestamp(ms) | Vehicle Traffic light 1 | Vehicle Traffic light 2 | Vehicle Traffic light 3 | Vehicle Traffic light 4 | Pedestrian Traffic light 1 | Pedestrian Traffic light 2 | Pedestrian Traffic light 3 | Pedestrian Traffic light 4,0.0,,True,0.0,0.0,timestamp(ms)
Chongqing,6_22_NR_3,True,TrafficLight_06_22_NR3_add_plight.csv,104.0,10.0,RawFrameID | timestamp(ms) | Vehicle Traffic light 1 | Vehicle Traffic light 2 | Vehicle Traffic light 3 | Vehicle Traffic light 4 | Pedestrian Traffic light 1 | Pedestrian Traffic light 2 | Pedestrian Traffic light 3 | Pedestrian Traffic light 4,0.0,,True,0.0,0.0,timestamp(ms)
Chongqing,6_22_NR_4,True,TrafficLight_06_022_NR4_add_plight.csv,110.0,10.0,RawFrameID | timestamp(ms) | Vehicle Traffic light 1 | Vehicle Traffic light 2 | Vehicle Traffic light 3 | Vehicle Traffic light 4 | Pedestrian Traffic light 1 | Pedestrian Traffic light 2 | Pedestrian Traffic light 3 | Pedestrian Traffic light 4,0.0,,True,0.0,0.0,timestamp(ms)
Chongqing,6_24_NR_1,True,TrafficLight_06_24_NR1_add_plight.csv,104.0,10.0,RawFrameID | timestamp(ms) | Vehicle Traffic light 1 | Vehicle Traffic light 2 | Vehicle Traffic light 3 | Vehicle Traffic light 4 | Pedestrian Traffic light 1 | Pedestrian Traffic light 2 | Pedestrian Traffic light 3 | Pedestrian Traffic light 4,0.0,,True,0.0,0.0,timestamp(ms)
Chongqing,6_24_NR_2,True,TrafficLight_06_24_NR2_add_plight.csv,107.0,10.0,RawFrameID | timestamp(ms) | Vehicle Traffic light 1 | Vehicle Traffic light 2 | Vehicle Traffic light 3 | Vehicle Traffic light 4 | Pedestrian Traffic light 1 | Pedestrian Traffic light 2 | Pedestrian Traffic light 3 | Pedestrian Traffic light 4,0.0,,True,0.0,0.0,timestamp(ms)
Chongqing,6_29_NR_1,True,TrafficLight_06_29_NR1_add_plight.csv,105.0,10.0,RawFrameID | timestamp(ms) | Vehicle Traffic light 1 | Vehicle Traffic light 2 | Vehicle Traffic light 3 | Vehicle Traffic light 4 | Pedestrian Traffic light 1 | Pedestrian Traffic light 2 | Pedestrian Traffic light 3 | Pedestrian Traffic light 4,0.0,,True,0.0,0.0,timestamp(ms)
Chongqing,6_29_NR_2,True,TrafficLight_06_29_NR2_add_plight.csv,97.0,10.0,RawFrameID | timestamp(ms) | Vehicle Traffic light 1 | Vehicle Traffic light 2 | Vehicle Traffic light 3 | Vehicle Traffic light 4 | Pedestrian Traffic light 1 | Pedestrian Traffic light 2 | Pedestrian Traffic light 3 | Pedestrian Traffic light 4,0.0,,True,0.0,0.0,timestamp(ms)
Chongqing,6_29_NR_3,False,,,,,,,,,,
Chongqing,6_29_NR_4,True,TrafficLight_06_29_NR4_add_plight.csv,90.0,10.0,RawFrameID | timestamp(ms) | Vehicle Traffic light 1 | Vehicle Traffic light 2 | Vehicle Traffic light 3 | Vehicle Traffic light 4 | Pedestrian Traffic light 1 | Pedestrian Traffic light 2 | Pedestrian Traffic light 3 | Pedestrian Traffic light 4,0.0,,True,0.0,0.0,timestamp(ms)
Tianjin,7_28_1,True,TrafficLight_7_28_1.csv,49.0,10.0,RawFrameID | timestamp(ms) | Traffic light 1 | Traffic light 2 | Traffic light 3 | Traffic light 4 | Traffic light 5 | Traffic light 6 | Traffic light 7 | Traffic light 8,0.0,,True,0.0,0.0,timestamp(ms)
Tianjin,8_10_1,True,TrafficLight_8_10_1.csv,46.0,10.0,RawFrameID | timestamp(ms) | Traffic light 1 | Traffic light 2 | Traffic light 3 | Traffic light 4 | Traffic light 5 | Traffic light 6 | Traffic light 7 | Traffic light 8,0.0,,True,0.0,0.0,timestamp(ms)
Tianjin,8_10_2,True,TrafficLight_8_10_2.csv,43.0,10.0,RawFrameID | timestamp(ms) | Traffic light 1 | Traffic light 2 | Traffic light 3 | Traffic light 4 | Traffic light 5 | Traffic light 6 | Traffic light 7 | Traffic light 8,0.0,,True,0.0,0.0,timestamp(ms)
Tianjin,8_11_1,True,TrafficLight_8_11_1.csv,98.0,10.0,RawFrameID | timestamp(ms) | Traffic light 1 | Traffic light 2 | Traffic light 3 | Traffic light 4 | Traffic light 5 | Traffic light 6 | Traffic light 7 | Traffic light 8,0.0,,True,0.0,0.0,timestamp(ms)
Tianjin,8_2_1,True,TrafficLight_8_02_1.csv,122.0,10.0,RawFrameID | timestamp(ms) | Traffic light 1 | Traffic light 2 | Traffic light 3 | Traffic light 4 | Traffic light 5 | Traffic light 6 | Traffic light 7 | Traffic light 8,0.0,,True,0.0,0.0,timestamp(ms)
