held_out_city,n_train,n_test,pca_components,pca_retained_variance,ari,aligned_accuracy,balanced_accuracy,macro_f1_present_reference,reference_profiles_present,predicted_profiles_present,all_reference_profiles_recovered,smallest_predicted_profile_count,smallest_predicted_profile_percentage,semantic_mae_mean,semantic_mae_max_profile,semantic_profile_correlation_mean,cluster_mapping
Changchun,11283,8665,5,0.9116103415819126,0.6858025445729005,0.835199076745528,0.8500119682112849,0.8092746357150677,4,4,True,1034,11.933064050778997,0.1665991765745491,0.253445400920921,0.8499349331928987,"{""0"": 2, ""1"": 3, ""2"": 1, ""3"": 4}"
Chongqing,18020,1928,5,0.9165335845095858,0.9657757619871955,0.9849585062240664,0.9568113540119282,0.9719768176163703,4,4,True,34,1.7634854771784232,0.21674369829432055,0.4776067112972363,0.8858820499674458,"{""0"": 3, ""1"": 1, ""2"": 2, ""3"": 4}"
Tianjin,15415,4533,5,0.9136766896884672,0.8851602692983108,0.956540922126627,0.9176340412218033,0.9420975192202015,4,4,True,227,5.00772115596735,0.2362384994305024,0.34598733060774617,0.8449097813757774,"{""0"": 3, ""1"": 4, ""2"": 2, ""3"": 1}"
Xi'an,15126,4822,5,0.9298545747077368,0.8765941745642742,0.9512650352550809,0.9404198175805503,0.9497744915625486,4,4,True,300,6.221484861053505,0.11301584980811202,0.1597640844394765,0.9137167621914967,"{""0"": 1, ""1"": 2, ""2"": 4, ""3"": 3}"
