pipeline,k,pca_components,pca_retained_variance,inertia,silhouette,davies_bouldin,calinski_harabasz,minimum_cluster_size,maximum_cluster_size,minimum_cluster_share,maximum_cluster_share,seed_stability_ari_mean,seed_stability_ari_min,silhouette_rank_score,dbi_rank_score,ch_rank_score,stability_rank_score,balance_rank_score,within_pipeline_composite,index,hopkins_mean,hopkins_std,hopkins_min,hopkins_max,balanced_accuracy_mean,balanced_accuracy_std,chance_balanced_accuracy,silhouette_selection_score,dbi_selection_score,stability_selection_score,hopkins_selection_score,city_risk_selection_score,balance_selection_score,overall_selection_score,bootstrap_ari_mean,bootstrap_ari_median,bootstrap_ari_min,bootstrap_unstable_repeats,bootstrap_min_cluster_share_mean,bootstrap_min_cluster_share_min,passes_bootstrap_stability_gate,silhouette_score_component,dbi_score_component,bootstrap_mean_component,bootstrap_min_component,city_risk_component,cluster_balance_component,stability_gated_selection_score
C_winsor_robust,2,5,0.9171415614610716,96458.25810228624,0.4892627543650405,0.9754644202878504,8966.249343228907,1977,17971,0.0991076799679165,0.9008923200320834,0.998702960319007,0.9979522025449272,1.0,1.0,1.0,0.8888888888888888,1.0,0.977777777777778,2,0.9130085747223522,0.0022053664997918,0.910273877401615,0.9162123584654664,0.4330517960263994,0.0047039837736822,0.25,0.6666666666666666,0.6666666666666667,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.6166666666666667,0.9819771347790199,0.9836218066898702,0.957289855433738,0,0.09792711048726685,0.0929416482855424,True,0.6666666666666666,0.6666666666666667,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.7
A_winsor_standard,3,5,0.9036908560423964,97446.10196410124,0.3413839702609814,1.1866046867284077,8475.908536459496,3116,9537,0.156206135953479,0.4780930419089633,0.999246311312712,0.9984391243133824,1.0,0.7777777777777779,1.0,0.8888888888888888,0.8888888888888888,0.9166666666666669,0,0.9400641655915078,0.0011337623086266,0.9384807845951,0.9417223846590416,0.4414367884016503,0.0063787087867954,0.25,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.4666666666666666,0.985962760780188,0.9887272060214025,0.965713326285285,0,0.15385001002606774,0.1436234208943252,True,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,0.6666666666666666
B_raw_robust,2,5,0.9002010646487704,129392.2539457776,0.5427173294520181,0.9713742680006464,7433.2798554320225,1812,18136,0.0908361740525365,0.9091638259474634,1.0,1.0,1.0,0.6666666666666667,1.0,1.0,1.0,0.9166666666666669,1,0.9925996601847727,0.0008002737583975,0.990404064832932,0.9930420700949292,0.4343468732892962,0.0037012894110029,0.25,1.0,1.0,1.0,1.0,0.6666666666666667,0.3333333333333333,0.9166666666666666,0.8801517263167525,0.982746198267235,0.0009028644223842,2,0.0836825746942049,5.013033888109084e-05,False,1.0,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.3333333333333333,-1.0
