profile_id,profile_name,trajectory_count,percentage,mean_speed_mps,max_speed_mps,speed_std_mps,mean_long_acc_mps2,max_acceleration_mps2,max_deceleration_mps2,acceleration_std_mps2,mean_abs_jerk_mps3,observed_stop_transition_count,stopped_time_ratio
1,Smooth and Steady,7477,37.48245438139162,6.727165741570036,9.368795226521748,1.19574491654536,0.1517925961732582,0.993201178794218,0.7994816796120692,0.4894741734914121,0.436294856536635,0.0,0.0
2,Stop-and-Go,6866,34.41949067575697,2.081678870250345,9.88294642337032,2.9281152072196,0.0777381904872462,1.7898308201423896,1.7215077675652835,0.6491265716549842,0.36063476630204805,1.0,0.5908743927827897
3,Dynamic Speed Adjustment,4338,21.746541006617203,6.625348779088453,10.863837045178915,2.097874415447933,0.2467649281266066,1.9552101084808835,1.9265019839956028,0.9677535129264199,0.7804290222704376,0.0,0.0
4,Acceleration-Intensive,1267,6.351513936234208,6.7068369092544176,10.70490250106372,1.910058945888431,0.3582352512415089,6.843118200006463,2.1842736689257145,1.5290667540682843,1.1111709449200204,0.0,0.0
